;Zertifikats𢥲sicht Lieferanten MVDS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Strasse;PLZ-Ort;Land;Lieferanten-nummer;Lieferantenerkl峵ng von 2015;Lieferantenerkl峵ng aktuell;zust寤ige Eink嶦er;Einschr寫ung in aktueller LE;;g𬴩g bis;;g𬴩g bis;QS-GAP;g𬴩g bis;;GG-Option;g𬴩g bis;;g𬴩g bis;Sozialmodul (GRASP oder FIAS);weitere;"liefert nur an Systemgastronomie
LEH Anforderungen entfallen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aartsenfruit Breda;Heilaar-Noordweg 9;4841 RR Breda;Niederlande;70150;;x;RGT;"LEH Spezifikationen nach Absprache
kein GRASP";;;;;;;verschiedene Erzeuger (siehe V:\4_Qualit嵳management\010 Zertifikate\Zertifikate - Erzeuger);;;;;;ISO 9001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABB Trading (jetzt ABB Growers);Fabrieksstraat 6;5961 PK Horst;Niederlande;70151;;x;AF;"GRASP je Lieferung anfragen
Eigenmarken REWE nur nach Absprache";;;;;;;;;;;;GRASP;BRC, HACCP, SEDEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
African Blue;Lotissement Belle Vue 220;Moulay Bousselham;Marokko;70122;;x;RGT;erst n夨stes Jahr GRASP;;;;;;;4050373384470;1;31.01.2018;;;;BRC, Tesco, ISO 2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agricola Fistur;Av. Prat 199 Bloque B, Dept 1107;11111 Conception;Chile;73634;;x;RGT;GRASP?;;;;;;;4050373702656;1;19.01.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agricola La Venta;Av del Pinar 136;Santiago de Surco, Lima;Peru;70134;;x;CD;kein GRASP;;;;;;;4049928838957;1;10.09.2018;;;;Fair for Life, HACCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agricom Ltda;El Golf 99 Piso 3;Las Condes;Chile;70121;;x;RGT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agro Trade - Sandra Stefaniak;ul. Pogodna 7;PL-64920 Pila;Polen;70126;;x;MT;;;;;;;;"4052852603621
4056186302854
4049929047334 (Erdbeeren)";"1
1
1";"19.07.2018
08.07.2018
10.07.2018";;;GRASP;Tesco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agrofruit d.o.o.;Statrovici;76209   BOS-Brcko;Bosnien-Herzegowina;70088;;x;MT;Sozialmodul ab Juli 2016;;;;;;;4050373855963;1;24.07.2018;;;ab Juli 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agroganp;Rua de Carvalho 176b;4770-089 Cabcudos;Portugal;70144;;x;MT;"LEH Spezifikationen fehlen
kein GRASP!";;;;;;;4056186679437;1;29.06.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agro Rio;Fundo el Rio de Quillaimo;Linares /Retiro  Chile;Chile;70140;;x;RGT;kein GRASP;;;;;;;4049928385208;1;01.06.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGP Export;Fundo La Piedra;Km 18 camino a Pinto;Chile;70142;;x;RGT;GRASP ab August 2017;;;;;;;4052852025218;1;19.05.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agromolinillo (Fruta de Andalucia);C/. Elisa Fernandez, 15;21800 Moguer (Huelva);Spanien;70053;x;x;CD;;;;;;;;4049929291898;2;10.03.2018;;;GRASP;BRC, Tesco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandra Isabel Lobo Coutinho Goncalves Campos;Rua Sophia Mello Breyner Lote E1;4700-752 Palmeira Braga;Portugal;88914;;x;RGT;kein GRASP;;;;;;;4056186722249;1;06.07.2018;;;;Zertifikat integrierte Produktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alfaberries Limitada;Panamerican Norte 01077;Chillan VIII;Chile;70138;;x;RGT;GRASP??;;;;;;;verschiedene Erzeuger (siehe V:\4_Qualit嵳management\010 Zertifikate\Zertifikate - Erzeuger);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alkyon S.A (Eurogrup);Industrial Area of Kavala;64200 Kavala;Griechenland;70038;;x;AF;;"IFS Food
COID: 53550";13.10.2017;x;18.08.2017;;;4056186786807;2;29.10.2017;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allfresh Export SFA;Estoril 50, office 717, La Condes;CL-7591047 Santiago;Chile;70109;;x;RGT;;;;;;;;verschiedene Erzeuger (siehe V:\4_Qualit嵳management\010 Zertifikate\Zertifikate - Erzeuger);;;x;31.03.2017;;GFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almahue;Don Carlos 2939 of. 309;Las Condes Santiago;Chile;73537;;x;RGT;;;;;;;;4052852381864;1;17.12.2017;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alpine Fresh;9300 NW 58th Street;Doral;USA;70153;;x;CD;kein Sozialmodul;;;;;;;verschiedene Erzeuger (siehe V:\4_Qualit嵳management\010 Zertifikate\Zertifikate - Erzeuger);;;;;; Primus GFS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apicola Valdivia (Apicoop);Balmaceda 510;Valdivia;Chile;86330;;x;RGT;;;;;;;;4050373913786;1;25.01.2018;;;;Faitrade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apimex Fruchthandel GmbH;Sch姴larnstr. 10;81371 M𮣨en;Deutschland;70031;x;x;AF;nicht an Globus;"IFS Cash und Carry
COID: 1016";01.06.2018;x;06.04.2019;;;4052852371391;1;28.11.2017;x;31.01.2017;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple Farm;Starowiejska 41 - 43;81-363 Gdynia;Polen;70129;;x;MT;;"IFS Food (Sompolno)
COID: 52545";18.07.2018;;;;;4056186738332;1;10.07.2018;;;GRASP;BRC, HACCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;IFS Logistik;31.07.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnulf Weiller;Am G峷ald 4;76863 Herxheim;Deutschland;86841;;x;BB;Sozialzertifikat nach Abstimmung;"IFS Cash & Carry
COID: 2687";03.08.2018;x;19.06.2018;;;;;;x;31.12.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arofa S.L.;Berroa,4 Edif.La Estrella Ofic.117;E- 31192 Tajonar (Navarra);Spanien;70110;x;x;CD;Eigenmarken REWE nicht erf𬬴 da kein QS;;;;;;;4050373022709;1;30.07.2018;;;GRASP;BRC, SEDEX (Natberry Maroc);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASF Holland;Lage Brugweg 11a;NL-5979 Helenaveen;Niederlande;70073;x;x;AF;nicht alle Erzeuger GRASP ;;;;;;;alle Erzeuger GlobalGAP;;;;;;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Athos (Exportadora Fruticola del Sur);Paz Soldan no 225 OF 203 ;615-4200 Lima;Peru;70149;;x;RGT;kein GRASP;;;;;;;4052852223676;1;18.09.2018;;;GRASP;SA 8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bakundi Explora褯 Agrla ;Rua do Carvalho 176 A;4770-071, Cabe趤os;Portugal;70820;;x;MT;"GRASP vors. Ende Mai
Eigenmarken REWE nicht erf𬬴 da kein QS";;;;;;;4056186679420;1;16.06.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Banken Champignons;Bijsterhuizen 3130;6604 LV Wijchen;Niederlande;70824;;x;MS;;"IFS Food
COID: 10201";27.08.2018;;;;;;;;x;31.12.2017;;BRC;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauernmarkt Lindchen GmbH;Am Lindchen 3;47589 Uedem;Deutschland;26507;;x;AF;LEH Spezifikationen fehlen;;;x;25.07.2018;x;25.07.2018;4049929257245;3;25.07.2018;x;31.12.2016;FIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauer Funken;Industriering Ost 91;47906 Kempen;Deutschland;73503;;x;MS;;"IFS Food
COID: 11272";19.09.2018;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baumann;Dingolfinger Straࠥ 26 ;94333 Geiselh򲩮g ;Deutschland;70818;x;x;MS;;;;x;23.05.2018;;;4049929742161;1;23.05.2018;;;GRASP;Regionalfenster, GQB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beerenhof Lohse;Rodewalder Straࠥ 36;29690 Gilten-Nienhagen;Deutschland;77743;x;x;AF;;;;x;15.04.2018;x;15.04.2018;4049929257474;3;15.04.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berries del Plata;Av. Juramento 2059;Buenos Aires;Argentinien;79856;x;x;RGT;;;;;;;;4049929731677;1;04.12.2017;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berries Donana;Rabida 6;21800 Moguer (Huelva);Spanien;72156;;x;RGT;;;;;;;;4056186909527;1;20.12.2017;;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berries Mesopotamicos;Camino rural sobre desvio del km 10 de ruta Prov. N?4, s/d;"Colonia
San Bonifacio";Argentinien;70806;;x;RGT;kein GRASP;;;;;;;4049928831521;1;02.10.2018;;;;Fairtrade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berries Osorno;RUTA 215 KM 20 FUNDO LOS MAITENES;5290000 Osorno;Chile;70732;;x;RGT;Sozialmodul ??;;;;;;;4049928410900;1;05.03.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berrybrothers BV;Nijken 18;NL-6088 NR Roggel;Niederlande;70767;;x;YM;LEH Spezifikationen offen;"IFS Food
COID: 35172";04.02.2018;;;;;"4049929001633
4049929915787";1;"04.05.2018
aktuell nicht zertifiziert";;;GRASP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berryfarm Sil Moonen BV;Mortel 27;6088 AH Roggel;Niederlande;95319;;x;AF;"LEH Spezifikationen auf Nachfrage (bekommen Analyseergebnisse mit jeder Lieferung)
GRASP bei n夨ster Zertifizierung";;;;;;;4049929232679;1;10.07.2018;;;GRASP;Tesco, SEDEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
